money,ways,nodes

1,1,11
2,1,13
3,1,15
4,1,17
5,2,19
6,2,25
7,2,29
8,2,33
9,2,37
10,4,41
11,4,55
12,4,63
13,4,71
14,4,79
15,6,87
16,6,103
17,6,115
18,6,127
19,6,139
20,9,151
21,9,177
22,9,195
23,9,213
24,9,231
25,13,249
26,13,287
27,13,313
28,13,339
29,13,365
30,18,391
31,18,439
32,18,475
33,18,511
34,18,547
35,24,583
36,24,645
37,24,693
38,24,741
39,24,789
40,31,837
41,31,915
42,31,977
43,31,1039
44,31,1101
45,39,1163
46,39,1259
47,39,1337
48,39,1415
49,39,1493
50,50,1571
51,50,1705
52,50,1805
53,50,1905
54,50,2005
55,62,2105
56,62,2255
57,62,2379
58,62,2503
59,62,2627
60,77,2751
61,77,2941
62,77,3095
63,77,3249
64,77,3403
65,93,3557
66,93,3777
67,93,3963
68,93,4149
69,93,4335
70,112,4521
71,112,4789
72,112,5013
73,112,5237
74,112,5461
75,134,5685
76,134,6007
77,134,6275
78,134,6543
79,134,6811
80,159,7079
81,159,7453
82,159,7771
83,159,8089
84,159,8407
85,187,8725
86,187,9161
87,187,9535
88,187,9909
89,187,10283
90,218,10657
91,218,11161
92,218,11597
93,218,12033
94,218,12469
95,252,12905
96,252,13483
97,252,13987
98,252,14491
99,252,14995
100,292,15499
101,292,16183
102,292,16767
103,292,17351
104,292,17935
105,335,18519
106,335,19281
107,335,19951
108,335,20621
109,335,21291
110,384,21961
111,384,22839
112,384,23607
113,384,24375
114,384,25143
115,436,25911
116,436,26893
117,436,27765
118,436,28637
119,436,29509
120,494,30381
121,494,31497
122,494,32485
123,494,33473
124,494,34461
125,558,35449
126,558,36711
127,558,37827
128,558,38943
129,558,40059
130,628,41175
131,628,42583
132,628,43839
133,628,45095
134,628,46351
135,704,47607
136,704,49179
137,704,50587
138,704,51995
139,704,53403
140,786,54811
141,786,56559
142,786,58131
143,786,59703
144,786,61275
145,874,62847
146,874,64783
147,874,66531
148,874,68279
149,874,70027
150,972,71775
151,972,73945
152,972,75889
153,972,77833
154,972,79777
155,1076,81721
156,1076,84093
157,1076,86245
158,1076,88397
159,1076,90549
160,1190,92701
161,1190,95329
162,1190,97709
163,1190,100089
164,1190,102469
165,1310,104849
166,1310,107721
167,1310,110341
168,1310,112961
169,1310,115581
170,1440,118201
171,1440,121361
172,1440,124241
173,1440,127121
174,1440,130001
175,1580,132881
176,1580,136349
177,1580,139509
178,1580,142669
179,1580,145829
180,1730,148989
181,1730,152769
182,1730,156229
183,1730,159689
184,1730,163149
185,1890,166609
186,1890,170729
187,1890,174509
188,1890,178289
189,1890,182069
190,2060,185849
191,2060,190329
192,2060,194449
193,2060,198569
194,2060,202689
195,2240,206809
196,2240,211669
197,2240,216149
198,2240,220629
199,2240,225109
200,2435,229589
201,2435,234891
202,2435,239761
203,2435,244631
204,2435,249501
205,2640,254371
206,2640,260081
207,2640,265361
208,2640,270641
209,2640,275921
210,2860,281201
211,2860,287391
212,2860,293111
213,2860,298831
214,2860,304551
215,3090,310271
216,3090,316931
217,3090,323111
218,3090,329291
219,3090,335471
220,3335,341651
221,3335,348841
222,3335,355511
